Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14/numericalintegralservice/0/3.14159,32,32,2,1.6889225312368694,1.4647300000660834,2.7415549999432187,0.0,0.1791703085141207,0.1791703085141207,2,2,2,2,2,2,3,3,3,3,3
GET,/numericalintegralservice/0/3.14/numericalintegralservice/0/3.14159/details,58,58,2,1.7797647413803572,1.480230999959531,8.023268999977518,0.0,0.32474618418184376,0.32474618418184376,2,2,2,2,2,2,2,8,8,8,8
,Aggregated,90,90,2,1.747465288884895,1.4647300000660834,8.023268999977518,0.0,0.5039164926959644,0.5039164926959644,2,2,2,2,2,2,3,8,8,8,8
